Power Name,Requirement,Trigger,Sustain Action,Weapon Bonus,Primary Target,Secondary Target,Secondary Attack,Secondary Hit,Tertiary Target,Tertiary Attack,Tertiary Hit,Range,Hit Effects,Miss Effects,Effects,Special Effects,Damage Increase at 11,Damage Increase at 21,Description
Divine Vigor,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 5,null,null,Each target regains the use of his or her second wind.,null,null,null,You call upon your deity to invigorate you and your battle-weary allies.
Strengthen the Faithful,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,you and each ally adjacent to the target can spend a healing surge. Add your Charisma modifier to the hit points regained.,null,null,null,null,null,You utter a solemn prayer as you bring your weapon down upon your foe% invoking the power of your deity to physically bolster you and nearby allies.
Holy Lantern,null,null,null,null,null,null,null,null,null,null,null,3,null,null,You conjure a lantern that appears in 1 square within range and sheds light 5 squares in all directions. You and allies in the light gain a +2 power bonus to Perception and Insight checks. You can move the lantern up to your speed as a minor action. The lantern lasts for 10 hours% but you can have only a single holy lantern active at a time.,null,null,null,A conjured beacon of divine light shines like a lantern% piercing shadows and deception.
Astral Defenders,null,null,null,null,null,null,null,null,null,null,null,10,null,null,You conjure two soldiers% each occupying 1 square within range. The conjured soldiers don’t attack normally% but whenever an opportunity attack would be provoked from a conjured soldier% the soldier makes a Wisdom vs. Reflex attack. On a hit% the attack deals 1d10 + Wisdom modifier radiant damage. You can move one soldier or both a total of 3 squares as a move action. Creatures can move through the spaces occupied by the soldiers. The soldiers last until the end of the encounter.,null,null,null,You conjure two ghostly soldiers% indistinct except for glowing weapons. They lash out with divine radiance against enemies that pass.
Awe Strike,null,null,null,null,One Creature,null,null,null,null,null,null,Melee,the target is immobilized until the end of your next turn.,null,null,null,null,null,The supernatural awe and dread that radiates from you as you swing your weapon leaves your foe momentarily frozen in terror.
Blade Barrier,null,null,Minor: The Barrier Persists,null,null,null,null,null,null,null,null,Area Wall 5 within 10,null,null,You conjure a wall of contiguous squares filled with spinning blades of astral energy that lasts until the end of your next turn. The wall can be up to 5 squares long and up to 2 squares high. The spaces occupied by the blade barrier are difficult terrain. If a creature enters the barrier’s space or starts its turn there% it takes 3d6 + Wisdom modifier damage plus ongoing 5 damage (save ends).,null,null,null,A barrier of whirling blades appears% slashing at those who come too close or try to pass through.
Knights of Unyielding Valor,null,null,null,null,null,null,null,null,null,null,null,10,null,null,You conjure four ghostly warriors% each occupying 1 square within range. As a move action% you can move any of the knights 2 squares. They can't attack or be attacked or damaged% and they last until the end of the encounter. Enemies can't enter a square occupied by a conjured knight% but allies can move through the knights' spaces as if the knights were allies. The conjured knights grant cover to allies.,null,null,null,You conjure four ghostly knights that carry huge shields emblazoned with the symbol of your deity.
Divine Power,null,null,null,null,Each enemy in burst you can see,null,null,null,null,null,null,Close Burst 2,You push the target 1 square.,null,Until the end of the encounter% you gain regeneration 5% and you and each ally within the burst gain a +2 power bonus to AC.,null,null,null,You swing your weapon in a wide arc around you% creating a halo of divine energy that drives foes back while fortifying you and your allies
Flame Strike,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Area Burst 2 within 10,ongoing 5 + Wisdom Modifier fire damage (save ends).,Half Damage% and no ongoing fire damage.,null,null,null,null,A column of flame roars downward to engulf your foes.
Astral Refuge,null,null,null,null,A willing ally,null,null,null,null,null,null,Melee,null,null,The target is whisked away to a place of safety in the Astral Sea for 3 rounds. While there% the target can spend a healing surge each round but cannot take any other ac- tions. At the end of the effect% the target reappears in the space he or she left or% if the space is not vacant% in the nearest unoccupied space.,null,null,null,With a touch% you send one of your allies to a sequestered location in the Astral Sea% where he can recuperate for a brief time before rejoining the battle.
Mass Cure Light Wounds,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 5,null,null,The targets regain hit points as if they had spent a healing surge. Add your Charisma modifier to the hit points regained.,null,null,null,With a wave of your hand% healings motes of silver light engulf you and all nearby allies.
Shielding Word,null,An ally in range is hit by an attack,null,null,The ally in range,null,null,null,null,null,null,5,null,null,The ally gains a +4 power bonus to AC until the end of your next turn.,null,null,null,You invoke a prayer that instantly defends one of your allies.
Arc of the Righteous,null,null,null,null,One creature,One creature within 3 squares of you,Strength vs. AC,null,null,null,null,Melee,Make a secondary attack.,null,null,null,null,null,You channel your god's divine wrath into your weapon% unleashing an arc of lightning with a successful strike that then leaps to another foe within range.
Inspiring Strike,null,null,null,null,One creature,null,null,null,null,null,null,Melee,You or an ally within 5 squares regains hit points equal to 15 + your Charisma modifier.,null,null,null,null,null,You recite a short verse as you strike your enemy with your weapon. If you hit% the power of the quoted verse brings healing to you or an ally close by.
Mantle of Glory,null,null,null,null,Each enemy in blast,null,null,null,null,null,null,Close Blast 5,null,null,Allies in the blast can spend a healing surge.,null,null,null,Whispering a prayer to your deity% you invoke a blast of white radiance from your holy symbol. Foes burn in its glorious light% but your allies are fortified by it.
Plague of Doom,null,null,null,null,One creature,null,null,null,null,null,null,10,The target takes a penalty to all defenses equal to your charisma modifier until the end of your next turn.,null,null,null,null,null, You direct your attention at an enemy% whisper an ancient battle prayer% and send jolts of wracking pain through his body.
Holy Spark,null,null,null,null,One creature,null,null,null,null,null,null,Melee,Ongoing 10 lightning damage(save ends). While this power's ongoing damage is in effect% any ally of the target that starts its turn within 3 squares of the target takes 2d10 lightning damage.,Half Damage% and no ongoing lightning damage.,null,null,null,null,Crackling with heavenly lightning% your weapon hits your foe and engulfs him in glowing arcs. Lightning jumps to other foes that approach the target.
Purifying Fire,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Area Burst 2 within 10,Ongoing 10 fire damage(save ends). While this power's ongoing damage is in effect% you and your allies regain hit points equal to 5 + your charisma modifier when starting a turn adjacent to one or more targets taking the ongoing damage.,Half damage% and no ongoing fire damage.,null,null,null,null,Divine fire engulfs your foes and leaves them burning. Like beacons of holy flame% your burning foes heal your nearby allies while the flames persist.
Seal of Warding,null,null,Minor: The Zone persists.,null,Each enemy in burst,null,null,null,null,null,null,Close Burst 3,The target is slowed until the end of your next turn.,Half damage% and the target is not slowed.,The burst creates a zone of difficult terrain that grants cover to you and your allies against ranged attacks until the end of your next turn.,null,null,null,You create a circle of faintly glowing divine symbols around you that hinders the movement of enemies caught within it and protects you and your allies from ranged attacks.
Astral Shield,null,null,null,null,null,null,null,null,null,null,null,5,null,null,You conjure a shield that appears in 1 square within range. You and any allies adjacent to the shield gain a +2 bonus to AC. Every round% you can move the shield up to 3 squares within range as a move action. It can't be attacked or damaged and lasts until the end of the encounter.,null,null,null,You conjure a shimmering silver shield% which you can then move around the battlefield to provide protection where it is needed most.
Cloak of Peace,null,null,null,null,null,null,null,null,null,null,null,10,null,null,The target gains a +5 power bonus to AC% and a +10 power bonus to all other defenses until the end of the encounter. This effect ends if the target makes an attack.,null,null,null,You utter a prayer as you point toward a nearby ally% surrounding him in a mantle of faint silvery light that repels attacks for as long as he does not attack.
Divine Armor,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 3 ,null,null,You gain a +2 power bonus to AC% and all targets gain resist 5 to all damage until the end of the encounter.,null,null,null,As you mutter a fervent prayer% the power of your god encases you and healing motes of silver light surround you and all nearby allies.
Hallowed Ground,null,null,null,null,null,null,null,null,null,null,null,Close Burst 5,null,null,The burst creates a zone of hallowed ground. You and any allies gain the following benefits while within the zone; a +2 power bonus to saving throws% a +2 power bonus to all defenses% and a +2 power bonus to attack rolls. The area remains hallowed until the end of the encounter.,null,null,null,You speak a prayer% and the ground around you becomes hallowed% granting you and your allies divine protection.
Blinding Light,null,null,null,null,One creature,null,null,null,null,null,null,Melee,the target is blinded until the end of your next turn.,null,null,null,null,null,You utter a brief prayer% and a brilliant nimbus of golden light surrounds your weapon% blinding your enemy on impact.
Enthrall,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Area Burst 3 within 10,The target is immobilized and unable to make attacks against you until the end of your turn.,null,null,null,null,null,You begin reciting a verse from some ancient holy text. The truths you speak are enough to wound and hamper your enemies.
Sentinel Strike,null,null,null,null,One creature,null,null,null,null,null,null,Melee,Choose one ally within 5 squares of you; If the target attacks that ally before the end of your next turn% reduce the target's damage against that ally to 0.,null,null,null,null,null,You shout a sacred invocation% and your weapons smolders with silver wisps of divine power. In addition to delivering a stern blow to your enemy% the divine energy clings to your target and foils its attacks for a short time.
Thunderous Word,null,null,null,null,Each enemy in blast,null,null,null,null,null,null,Close Blast 5,You push the target a number of squares equal to 3 + your Charisma Modifier.,null,Allies in the blast can shift 1 square.,null,null,null,You shout a word that forcefully thrusts your enemies back while allowing your allies to position themselves more advantageously.
Fire Storm,null,null,Minor: The Zone persists.,null,Each enemy in burst,null,null,null,null,null,null,Area Burst 5 within 10,null,Half Damage,The burst creates a zone of fire that lasts until the end of your next turn. Enemies that start their turn in this zone take 1d10 + Wisdom modifier fire damage.,null,null,null,A rolling cloud of fire scours your foes% lingering on the battlefield until you allow it to burn itself out.
Holy Wrath,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Close Burst 3 ,null,null,You gain regeneration 10 and a +2 power bonus to attack rolls until the end of the encounter.,null,null,null,A burst of furious light washes over your foes and fortifies you with the wrath of your god.
Indomitable Spirit,null,null,null,null,One creature,null,null,null,null,null,null,Melee,null,Half Damage,You and each ally within 5 squares of you regain hit points as if you had each spent a healing surge.,null,null,null,The divine power of your mighty attack fortifies your allies.
Knight of Glory,null,null,null,null,Creature adjacent to the ghostly knight,null,null,null,null,null,null,10,null,null,You conjure a ghostly knight that occupies 1 square within range% and the knight attacks an adjacent creature. Once per round as a minor action% you can make the knight attack an adjacent creature. Every round% you can move the knight 5 squares as a move action. It lasts until the end of your encounter.,null,null,null,You conjure a ghostly warrior clad in the ceremonial armor of your faith. With sword in hand% it attacks your enemies.
Angel of the Eleven WInds,null,null,null,null,null,null,null,null,null,null,null,10,null,null,You conjure the likeness of an angel that occupies 1 square within range. The angel grants any target you can see a speed of fly 8 and a +4 power bonus against opportunity attacks. Changing the target is a minor action. A creature that no longer benefits from the effect lands on the ground safely. The angel can't move or be attacked or damaged% and it lasts until the end of the encounter.,null,null,null,You conjure a luminous winged angel with indistinct features. It hovers 1 foot above the ground and grants others the power of flight.
Clarion Call of the Astral Sea,null,null,null,null,You or one willing ally,null,null,null,null,null,null,10,null,null,The target teleports away to a safe location in the Astral Sea and regains hit points up to its maximum. While it is away% the target can percieve the surroundings of its previous location% but it can't take any actions. At the start of its next turn% it returns to an unoccupied space chosen by you within 5 squares of its previous location.,null,null,null,You beseech your deity for aid. A heavenly trumpet sounds% and you or a nearby ally is instantly whisked away to a fortress on the Astral Sea% restored to full health% and returned safely to the battlefield in short order.
Cloud Chariot,null,null,null,null,null,null,null,null,null,null,null,2,null,null,You conjure a chariot of cloudstuff that occupies a 2-by-2 space within range% and a winged horse of cloudstuff that occupies a 2-by-2 space adjacent to the chariot. The horse and the chariot have a speed of fly 8. The chariot can carry up to four Small and Medium creatures% and the horse can hold one Small or Medium rider. The chariot grants cover to its occupants. The chariot and the horse can't attack or be seperated% and they  can't be attacked or damaged. They remain until you take an extended rest unless you dismiss them (a free action).,null,null,null,You conjure a white cloud that coalesces into a chariot pulled by a winged horse% both made of solid cloudstuff.
Purify,null,null,null,null,You and each ally in burst,null,null,null,null,null,null,Close Burst 5,null,null,Every effect that a save can end is removed from the targets.,null,null,null,You wave a hand% releasing golden motes of light that strike nearby allies% ridding them of all lingering afflictions.
Spirit of Health,null,null,null,null,n,null,null,null,null,null,null,10,null,null,You conjure a spirit that appears in 1 square within range. You or any ally adjacent to or in the same square asthe spirit can spend a healing surge as a minor action. The spirit can heal one target per round and regains its healing ability at the start of each of your turns. Creatures can move through the spirit's space without impediment. The spirit can't move or be attacked or damaged% and it lasts until the end of the encounter.,null,null,null,You conjure an insubstantial spirit that hovers in the air nearby and heals your wounded comrades.
Astral Blades of Death,null,null,null,null,One creature,null,null,null,null,null,null,10,null,null,null,null,null,null,You invoke a holy phrase. Merciless blades of silvery light suddenly appear around your enemy and begin hacking at it.
Divine Censure,null,null,null,null,One creature,null,null,null,null,null,null,Melee,The target takes a -2 penalty to attack rolls until the end of your next turn.,null,null,null,null,null,With a hushed prayer% you imbue your weapon with the divine might of your god% such that one hit with the weapon leaves your enemy reeling.
Haunting Strike,null,null,null,null,One creature,null,null,null,null,null,null,Melee,The next attack roll you make against the target gains a +2 power bonus.,null,null,null,null,null,You strike your enemy hard with your weapon and invoke an ancient divine curse that makes him more vulnerable to a subsequent attack.
Healing Torch,null,null,null,null,Each enemy in burst.,null,null,null,null,null,null,Area Burst 5 within 10,null,null,You and each ally in the burst gain a power bonus to AC equal to your charisma modifier until the end of your next turn and can spend a healing surge. Add your Charisma modifer to the hit points regained.,null,null,null,You whisper an ancient prayer% igniting your holy symbol with divine light that quickly spreads to engulf your enemies and allies. The light sears your foes and momentarily bathes your allies in a protective% healing glow.
Nimbus of Doom,null,null,null,null,One creature,null,null,null,null,null,null,Melee,null,null,The target takes a -2 penalty to all defenses (save ends).,null,null,null,Your attack illuminates your foe with a radiant glow% guiding attacks against it.
Sacred Word,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Close Burst 5,The target is stunned until the end of your next turn.,Half damage% and the target is not stunned.,null,null,null,null,A single word of divine power damages and stuns nearby foes.
Seal of Binding,null,null,Standard: Each time you sustain the power% you and the target both take 2d10 + Wisdom modifier damage. The target remains stunned and protected against all other attacks. You can't sustain this power if you are bloodied.,null,One creature,null,null,null,null,null,null,10,The target is stunned and can't be affected by any attack other than this one until the end of your next turn.,null,null,null,null,null,Faintly glowing symbols encircle your foe% trapping it.
Seal of Protection,null,null,Minor: The Zone persists.,null,Each enemy in burst,null,null,null,null,null,null,Close Burst 2,null,null,The burst creates a protected zone until the end of your next turn. You and each ally within the zone gain a +2 bonus to AC. Enemies that enter the zone end their current movement.,null,null,null,You create a circle of faintly glowing symbols that halts your enemies and protects you and your allies from attack.
Punishing Strike,null,null,null,null,One creature,null,null,null,null,null,null,Melee,null,null,null,null,null,null,With a simple prayer% you gain a sudden clarity of purpose and empower your weapon with the indomitable might of your deity.
Sacrifical Healing,null,null,null,null,One creature,null,null,null,null,null,null,Melee,You and each ally within 10 squares of you can spend a healing surge. Add your Charisma modifier to the hit points regained.,null,null,null,null,null,As you spill the blood of your enemy% you whisper a prayer to your deity% who rewards your battle prowess with a timely blessing upon you and all nearby allies.
Scourge of the Unworthy,null,null,null,null,One creature,null,null,null,null,null,null,20,The target takes a -2 penalty to attack rolls until the end of your next turn.,null,null,null,null,null,You utter a divine phrase that lashes your enemy% dealing a terrible wound.
Sunburst,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Area burst 2 within 10,null,null,You and each ally in the burst regain hit points equal to 10 + your Charisma modifier and make a saving throw.,null,null,null,When you invoke an ancient prayer% a brilliant burst of light explodes in front of you% healing your allies and searing your enemies.
Astral Storm,null,null,Minor: When you sustain this power% make a Wisdom vs. Reflex attack against every enemy within the zone% dealing 2d10 + Wisdom modifier lightning damage if you hit and half damage if you miss.,null,Each enemy in burst,null,null,null,null,null,null,Area burst 5 within 20,Resistance doesn't reduce the damage unless the target has resistance to all four damage types% and only the weakes resistance applies. A target that has vulnerability to any one of the four damage types is subject to that vulnerability.,Half damage.,The burst creates a stormy zone until the end of your next turn.,null,null,null,You unleash a terrible storm upon your enemies% raining ice%fire%lightning% and thunder down upon them.
Godstrike,null,null,null,null,One creature,null,null,null,null,null,null,Melee,null,Half damage.,null,null,null,null,Your weapon explodes with brilliant light as you swing it at your foe.
~ANGELIC AVENGER~,,,,,,,,,,,,,,,,,,,
Astral Wave,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Close burst 8,null,null,null,null,null,null,As your angelic visage emerges% a wave of astral energy emanates from you and washes over your enemies with deadly effect
Angelic Presence,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Enemies gain a -2 penalty to attack rolls against you until the end of the encounter or until you are bloodied.,null,null,null,Your features blur into an angel's holy veil% and you are filled with a divine presence.
Angel Ascendant,null,null,null,null,null,null,null,null,null,null,null,Melee,null,null,You gain a speed of fly 6 (hover) until the end of the encounter.,null,null,null,You channel divine energy into a single% powerful attack that transforms you into an angelic being. Wings of radiant light spread from your back as your features transform into those of an angel.
~DIVINE ORACLE~,,,,,,,,,,,,,,,,,,,
Prophecy of Doom,null,null,null,null,One creature,null,null,null,null,null,null,5,null,null,You or an ally who hits the target with an attack can choose to make the attack a critical hit. This power lasts until the end of your next turn or until your or an ally uses it to make an attack a critical hit.,null,null,null,You predict dire results for your enemy.
Good Omens,null,null,null,null,You and each ally in range,null,null,null,null,null,null,10,null,null,The targets gain a +5 power bonus to all d20 rolls until the end of your next turn% but the targets cannot score critical hits while this power is in effect.,null,null,null,You peer into the future and predict good fortune for you and your allies.
Hammer of Fate,null,null,null,null,One creature,null,null,null,null,null,null,20,null,Rewind your turn to the moment before you made the attack% and you don't use this power. Choose a different standard action this turn. You can't use Hammer of Fate again until the next encounter.,n,null,null,null,You hammer your foe with prophetic words of power. If your foe avoids the barrage% you can untangle the lines of fate and perform a different action.
~RADIANT SERVANT~,,,,,,,,,,,,,,,,,,,
Solar Wrath,null,null,null,null,Each enemy in burst,null,null,null,null,null,null,Close burst 8,If the target is either an undead creature or a demon% it is also stunned until the end of your next turn.,null,null,null,null,null,Radiant light explodes from you like a solar flare% evaporating shadows and dealing illuminating damage to everything around you.
Healing Sun,null,null,Standard: The zone persists.,null,null,null,null,null,null,null,null,Close burst 2,null,null,The burst creates a zone of divine light until the end of your next turn. You and each ally who ends their turn within the zone regain hit points equal to 5 + your Charisma modifier. A demon or an undead creature that enters the zone or starts its turn there takes 1d10 + your Charisma modifier radiant damage.,The zone ends at the end of your turn if you are bloodied.,null,null,A healing sun shines forth from you% repairing the wounds of your allies while keeping creatures of darkness at bay.
Radiant Brilliance,null,null,null,null,One creature,null,null,null,null,null,null,20,null,null,At the start of your next turn% the target is the center of a burst 5 radiant explosion that affects only your enemies: Wisdom vs Will; 3d10 radiant damage; half damage on a miss.,null,null,null,You fire a brilliant ray of searing light into a foe% igniting that foe and briefly turning it into a small sun.
~WARPRIEST~,,,,,,,,,,,,,,,,,,,
Battle Cry,null,null,null,null,Each adjacent enemy,null,null,null,null,null,null,Close burst 1,null,null,You and each bloodied ally within 10 squares of you can spend a healing surge.,null,null,null,You attack every enemy next to you% shouting a revitalizing battle cry that inspires your allies.
Battle Favor,null,You roll a natural 20 when making a melee attack,null,null,null,null,null,null,null,null,null,Personal,null,null,Regain hit points as if you had spend two healing surges% or recover one daily power that you have already used. Once you use this power% you cannot recover it except by taking an extended rest.,null,null,null,When you score a critical hit against an enemy% your deity favors you with healing or by renewing one of your prayers.
Battle Pyres,null,null,Standard: You can make the secondary attack in subsequent rounds as long as at least one of your primary targets is taking ongoing radiant damage.,null,Each enemy in burst,One creature taking ongoing radiant damage within 5 squares of you,Wisdom vs. Reflex,null,null,null,null,Close burst 5,Ongoing 5 radiant damage (save ends). Make a secondary attack.,null,null,null,null,null,You call upon a powerful prayer that turns your enemies into pyres ablaze with radiant energy.
