Power Name,Requirement,Trigger,Sustain Action,Weapon Bonus,Primary Target,Secondary Target,Secondary Attack,Secondary Hit,Tertiary Target,Tertiary Attack,Tertiary Hit,Range,Hit Effects,Miss Effects,Effects,Special Effects,Damage Increase at 11,Damage Increase at 21,Description,Prerequisites
Shadow Stride,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You must be hiding to use this power. You can move your speed. At the end of that movement% if you have cover% you can make a Stealth check with no penalty for moving. If you make the Stealth check% you stay hidden during your movement.,null,null,null,You silently step from shadow to shadow% slipping past your foes unseen and unheard.,Lvl 10&[Stealth]
Fool's Opportunity,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target takes damage as if it were hit by its own melee basic attack. If you have combat advantage against the target% you can add your Sneak Attack damage.,null,null,null,null,null,You bait your foe into attacking you% and then turn his blow straight back at him.,Lvl 13
Stunning Strike,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target is stunned until the end of your next turn.,null,null,null,null,null,A well-timed attack leaves your enemy flailing helplessly for a few critical seconds.,Lvl 13
Tornado Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One or two creatures,null,null,null,null,null,null,Melee or Ranged weapon,You slide the target 2 squares.,null,Make two attacks. You can move 3 squares after making the attack.,If you posess the Artful Dodger tactic% you slide the target a number of squares equal to 1 + your Charisma modifier.,null,null,Your weapon becomes a blur as you make swift% sweeping attacks against two foes% then hastily slip away.,Lvl 13
Unbalancing Attack,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,The target cannot shift until the end of your next turn. If the target provokes an opportunity attack from you before the start of your next turn% you gain a bonus to the attack roll and damage roll with the opportunity attack equal to your Strength modifier% and you knock the target prone on a hit.,null,null,null,null,null,Ducking and weaving% you land a decisive blow that staggers your foe and sets it up for a tripping attack.,Lvl 13
Bloody Path,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You can move your speed. Every enemy that can make an opportunity attack against you as a result of this movement attacks itself with its opportunity attack% rather than you. Any enemy that can make an opportunity attack against you during this movement must do so. It cannot refrain from making the attack to avoid harming itself.,null,null,null,You dash across the battlefield% leaving bewildered and bleeding enemies in your wake.,Lvl 15
Garrote Grip,You must be wielding a light blade.,null,Minor: Sustain the grab for another round. The third time you sustain the grab after using this power% the target falls unconscious. If an unconscious target takes any damage% it is no longer unconscious.,null,One creature,null,null,null,null,null,null,Melee weapon,You grab the target. Until the target escapes% you have cover% and any melee attack or ranged attack that misses you hits the target instead.,null,null,You can use this power as a minor action if you have already grabbed a creature. Doing so requires no attack roll.,null,null,The more your enemy struggles% the less you want to let him go.,Lvl 15
Slaying Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,Half damage.,null,If the target is bloodied% this attack does 5[W] + Dexterity modifier + Strength modifier damage on a hit (half damage on a miss) and can score a critical hit on a roll of 17–20.,null,null,A ruthless strike yields great rewards% for after death comes the looting.,Lvl 15
Foil the Lock,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,On your next action% gain a +10 power bonus when you make a Thievery check to open a lock. If the check succeeds% the lock opens at once.,null,null,null,You tug on a lock a certain way% and just like that% it snaps open.,Lvl 16&[Thievery]
Hide in Plain Sight,You must already be hidden.,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You are invisible until you leave your current square. No other action that you perform makes you visible.,null,null,null,You stand unseen in the midst of the battle% striking from your place of hiding.,Lvl 16&[Stealth]
Leaping Dodge,null,An enemy targets you with an attack,null,null,null,null,null,null,null,null,null,Personal,null,null,Make an Athletics check to jump with a +5 power bonus and move the appropriate distance.,null,null,null,You leap out of harm’s way just in time to avoid an attack.,Lvl 16&[Athletics]
Raise the Stakes,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Until the end of your next turn% any of your attacks can score a critical hit on a roll of 17–20% and any attack against you can score a critical hit on a roll of 19–20.,null,null,null,You focus on the precision of your attacks% at the expense of hiding the chinks in your own armor.,Lvl 16&[Bluff]
Dragon Tail Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,If the target attacks you before the start of your next turn% you can attack it again as an immediate interrupt and deal 2[W] + Dexterity modifier damage if you hit.,null,null,If you posess the Brutal Scoundrel tactic% the attack you make as an immediate interrupt gains a bonus to the attack roll equal to your Strength modifier.,null,null,First you set them up% and then you knock them down.,Lvl 17
Hounding Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,Until the end of your next turn% you gain combat advantage against the target and a +1 power bonus to all defenses against its attacks.,null,null,If you posess the Artful Dodger tactic% the power bonus is equal to your Charisma modifier.,null,null,With snarling ferocity% you attack. Your weapon bites deep into your enemy’s flesh% filling his heart with doubt.,Lvl 17
Stab and Grab,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,You grab the target. If you have already grabbed the target% it is restrained instead of immobilized until it escapes your grab. The target can attempt to escape the grab as normal.,null,null,null,null,null,Keep your friends close% and your enemies at knifepoint.,Lvl 17
Feinting Flurry,You must be wielding a crossbow% a light blade% or a sling.,null,Minor: Sustain the penalty for another round.,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,Until the end of your next turn% all of the target’s defenses against your attacks take a penalty equal to your Charisma modifier.,null,null,null,A series of clever feints throws your foe off his game and makes him an easy target.,Lvl 19
Flying Foe,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,You slide the target a number of squares equal to your Strength modifier. If an obstacle (including a creature) arrests the slide% both the target and the obstacle take 1d6 damage and the target ends its movement in the square it occupied before it collided with the obstacle.,You slide the target a number of squares equal to your Strength modifier% and no damage from obstacles.,null,null,null,null,Mastering your foe’s reactions allows you to toss him about like a rag doll.,Lvl 19
Snake's Retreat,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,When the target makes a melee attack or a ranged attack against you% you can shift 1 square as an immediate interrupt. The target can make a saving throw to end this effect.,null,null,null,After striking boldly% you frustrate your foe by shifting away just as he’s about to attack you.,Lvl 19
Cloud Jump,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Make two consecutive Athletics checks to jump% with a +5 power bonus to each. You don’t have to land between the jumps and can exceed your normal movement.,null,null,null,You leap a phenomenal distance.,Lvl 22&[Athletics]
Dazzling Acrobatics,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You can shift twice your speed. You can climb at full speed as part of this move. If an enemy attacks you while you shift% you gain a +4 bonus to AC against that attack.,null,null,null,With nearly inhuman speed and percision% you slip away from a foe’s attack.,Lvl 22&[Acrobatics]
Hide from the Light,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You must already be hidden to use this power. You are invisible until the end of the encounter or until you end the effect by moving more than 2 squares in a turn or by making any attack other than a basic attack or an at-will attack.,null,null,null,As long as you take your time% you can move about the battlefield unseen.,Lvl 22&[Stealth]
Knave's Gambit,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,The target makes a melee basic attack as a free action against an adjacent target other than you. You choose the target of its attack.,null,If you posess the Artful Dodger tactic% the attack you cause with a miss gains a bonus to the attack roll and the damage roll equal to your Charisma modifier.,null,null,You make a decisive attack. Failing that% you cause your startled enemy to strike at another nearby foe.,Lvl 23
Scorpion Strike,You must be wielding a light blade.,An ally damages a creature adjacent to you,null,null,The creature your ally damaged,null,null,null,null,null,null,Melee 1,null,null,null,If you posess the Brutal Scoundrel tactic% shift a number of squares equal to your Strength modifier after this attack% whether or not you hit.,null,null,One of your allies deals a timely blow to your enemy% and like a scorpion% you strike.,Lvl 23
Steel Entrapment,You must be wielding a crossbow% a light thrown weapon% or a sling.,null,null,null,Each enemy in blast you can see,null,null,null,null,null,null,Close blast 5,The target is immobilized until the end of your next turn.,null,null,null,null,null,Glittering blades pin your foes in place before any of them have a chance to blink% let alone run away.,Lvl 23
Biting Assault,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,The target takes ongoing 10 damage and is weakened (save ends both).,Half damage% and the target takes ongoing 10 damage (save ends).,null,null,null,null,You strike with deadly ferocity to sap your foe’s strength.,Lvl 25
Ghost on the Wind,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,You become invisible. You move into any square adjacent to the target and reappear at the start of your next turn. You have combat advantage against the target until the end of your next turn.,Half damage% you can shift 1 square to another square adjacent to the target% and you have combat advantage against the target until the end of your next turn.,null,null,null,null,You vanish% then strike out of nowhere!,Lvl 25
Hamstring,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,The target takes ongoing 10 damage and is slowed (save ends both).,Half damage% and the target takes ongoing 5 damage and is slowed (save ends both).,null,null,null,null,You hobble your opponent with a ruthless slash across the legs% leaving him barely able to walk.,Lvl 25
Dance of Death,You must be wielding a light blade.,null,null,null,Each enemy in burst you can see,null,null,null,null,null,null,Close burst 1,If the target makes a melee attack against you before the end of your next turn% you can make it attack another creature of your choice instead% including itself.,null,null,If you posess the Artful Dodger tactic% the targets gain a bonus to the attack rolls provoked by this power equal to your Charisma modifier,null,null,You duck and dodge your enemies’ attacks% striking as opportunity allows while expertly deflecting attacks made against you.,Lvl 27
Hurricane of Blood,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,null,null,null,If you posess the Brutal Scoundrel tactic% the attack gains a bonus to the attack roll equal to your Strength modifier.,null,null,You stab and slash your foe mercilessly% spilling copious amounts of blood.,Lvl 27
Perfect Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,Add an extra 1[W] damage if the attack hits two defenses. The target is also stunned until the end of your next turn if the attack hits all three defenses.,null,null,You make one attack roll% and you hit if the roll equals or exceeds any of the three defenses.,null,null,Your enemy doesn’t know what hit it.,Lvl 27
Assassin's Point,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,Half damage.,null,Special: If you have combat advantage against the target% double any extra damage from Sneak Attack or a critical hit.,null,null,A sliced throat or a bolt through the heart—it’s all good.,Lvl 29
Immobilizing Strike,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,The target is immobilized (save ends). If the target succeeds on its saving throw% it is slowed (save ends). Saving throws against these effects take a –5 penalty.,Half damage% and the target is slowed (save ends). Saving throws against this effect take a –5 penalty.,null,null,null,null,With terrifying ease% you slash at your enemy’s exposed tendons and leave him immobilized and whimpering in pain.,Lvl 29
Moving Target,You must be wielding a crossbow% a light blade% or a sling.,A creature makes a melee attack or a ranged attack against you,null,null,The attacking creature,null,null,null,null,null,null,Melee or Ranged weapon,Instead of attacking you% the target attacks a creature you choose within 2 squares of you. You must choose a creature that the target can attack.,The target’s attack is made against you as normal% but deals half damage if it hits.,null,null,null,null,An attack meant for you hits another creature instead.,Lvl 29
~CAT BURGLAR~,,,,,,,,,,,,,,,,,,,,
Cat Burglar's Gambit,You must be wielding a light blade.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,null,null,Shift to any square adjacent to the target.,null,null,null,You spring into action% expertly strike% and then sidestep to position yourself for either certain glory or imminent doom.,Lvl 11
Instant Escape,null,You become immobilized% restrained% or slowed,null,null,null,null,null,null,null,null,null,Personal,null,null,You end any of the above conditions that currently afflict you. Then you can shift 2 squares.,null,null,null,With supreme effort% you escape.,Lvl 12
Redirected Death,You must be wielding a light blade.,An enemy hits you with a melee attack and can reach another enemy,null,null,The enemy that hit you,null,null,null,null,null,null,Melee weapon,The target’s attack misses you and hits an enemy of your choice within range of the target’s attack.,2[W] + Dexterity modifier against the target.,Shift 1 square.,null,null,null,The weapon races toward you% but with a slight move and a flourish of your own blade% you redirect the attack toward a different target.,Lvl 20
~DAGGER MASTER~,,,,,,,,,,,,,,,,,,,,
Critical Opportunity,You must be wielding a dagger and have scored a critical hit with a dagger against an enemy during this turn.,null,null,null,The same creature you hit with a critical hit,null,null,null,null,null,null,Melee weapon,null,null,null,null,null,null,Your first attack deals a critical wound% so you follow the attack with another strike.,Lvl 11
Meditation of the Blade,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,Until the end of the encounter% your dagger’s damage die increases by one size.,null,null,null,With a moment of concentration% you focus your will into the point of your blade.,Lvl 12
Deep Dagger Wound,You must be wielding a dagger.,null,null,null,One creature,null,null,null,null,null,null,Melee weapon,Ongoing 10 damage (save ends). On a critical hit% ongoing 20 damage (save ends).,2[W] + Dexterity modifier damage% and no ongoing damage.,null,null,null,null,Your dagger springs forward% plunging deep into your foe.,Lvl 20
~MASTER INFILTRATOR~,,,,,,,,,,,,,,,,,,,,
Distracting Wound,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature you have combat advantage against,null,null,null,null,null,null,Melee or Ranged weapon,The target grants combat advantage to you and all your allies until the end of your next turn.,null,null,null,null,null,You strike from the shadows% delivering a wound that distracts your foe and makes him drop his guard.,Lvl 11
Impossible to Catch,null,null,null,null,null,null,null,null,null,null,null,Personal,null,null,You become invisible until the start of your next turn.,null,null,null,With practiced ease% you step into the shadows and disappear from view.,Lvl 12
Painful Picture,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,Ongoing 10 damage (save ends).,Half damage% and no ongoing damage.,null,null,null,null,Your weapon bites deep% puncturing your enemy and leaving a lingering wound.,Lvl 20
~SHADOW ASSASSIN~,,,,,,,,,,,,,,,,,,,,
Killer's Eye,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One creature,null,null,null,null,null,null,Melee or Ranged weapon,null,null,null,If this attack is made before the target has acted in the encounter% increase the weapon damage to 3[W].,null,null,You strike with a killer’s eye% seeking to take down your enemy as quickly and efficiently as possible.,Lvl 11
Bad Idea% Friend,null,An adjacent enemy makes a melee attack against you for the first time during this encounter,null,null,null,null,null,null,null,null,null,Personal,null,null,Gain a +10 power bonus to all defenses against the enemy’s attack. If the attack misses% the enemy takes double your Shadow Assassin’s Riposte damage.,If you are granting combat advantage% you cannot use this power.,null,null,null,Lvl 12
Final Blow,You must be wielding a crossbow% a light blade% or a sling.,null,null,null,One bloodied creature,null,null,null,null,null,null,Melee or Ranged weapon,You shift a number of squares equal to your Charisma modifier. You must end this movement adjacent to an enemy.,Half damage% and no shift.,null,null,null,null,Your enemy is wounded. This shot will finish it off.,Lvl 20
